Locale,Language,Title,Short description,Full description
"en-US","English (United States)","My Perfect Party","Wedding, birthday & event planner — guests, seating, budget, tasks & invites.","My Perfect Party is a wedding planner, birthday planner, and all-in-one event planning app for celebrations of every kind.

Plan a wedding, birthday party, anniversary, engagement, baptism, baby shower, graduation, or family gathering — all on your phone, with data stored locally on your device.

What you can do:
• Create unlimited events with date, time, location, and celebration theme
• Build a guest list with RSVP / attendance tracking and party size
• Plan seating charts and table layouts for your reception or hall
• Track wedding budget and party expenses by category
• Manage tasks and to-dos with reminders before the big day
• Design and share digital invitations
• Export a PDF report of your event plans
• Optional email backup of your data

Search-friendly uses: wedding planner, wedding organizer, birthday planner, party planner, event planner, guest list app, seating chart planner, wedding budget tracker, party checklist, celebration organizer.

No account required for core planning. Works offline for your guest list, seating, budget, and tasks. Perfect for couples, hosts, and anyone organizing a stress-free celebration.

Download My Perfect Party — your wedding & events planner."
"en-GB","English (United Kingdom)","My Perfect Party","Wedding, birthday & event planner — guests, seating, budget, tasks & invites.","My Perfect Party is a wedding planner, birthday planner, and all-in-one event planning app for celebrations of every kind.

Plan a wedding, birthday party, anniversary, engagement, baptism, baby shower, graduation, or family gathering — all on your phone, with data stored locally on your device.

What you can do:
• Create unlimited events with date, time, location, and celebration theme
• Build a guest list with RSVP / attendance tracking and party size
• Plan seating charts and table layouts for your reception or hall
• Track wedding budget and party expenses by category
• Manage tasks and to-dos with reminders before the big day
• Design and share digital invitations
• Export a PDF report of your event plans
• Optional email backup of your data

Search-friendly uses: wedding planner, wedding organiser, birthday planner, party planner, event planner, guest list app, seating plan, wedding budget tracker, party checklist, celebration organiser.

No account required for core planning. Works offline for your guest list, seating, budget, and tasks. Perfect for couples, hosts, and anyone organising a stress-free celebration.

Download My Perfect Party — your wedding & events planner."
"hr","Croatian","Moja savršena proslava","Planer vjenčanja i proslave — gosti, raspored, budžet, zadaci i pozivnice.","Moja savršena proslava je planer vjenčanja, planer rođendana i aplikacija za organizaciju svih vrsta proslava.

Organizirajte vjenčanje, rođendan, godišnjicu, zaruke, krštenje, mature ili obiteljsko okupljanje — na telefonu, s podacima koji ostaju lokalno na uređaju.

Što možete raditi:
• Kreirati događaje s datumom, vremenom, lokacijom i temom
• Voditi listu gostiju s praćenjem dolaska i brojem osoba
• Planirati raspored sjedenja i stolove u dvorani
• Pratiti budžet i troškove proslave po kategorijama
• Upravljati zadacima i podsjetnicima prije velikog dana
• Dizajnirati i dijeliti digitalne pozivnice
• Izvesti PDF izvještaj plana događaja
• Opcionalni email backup podataka

Ključne riječi: planer vjenčanja, organizator vjenčanja, planer rođendana, planer proslave, lista gostiju, raspored sjedenja, budžet vjenčanja, checklista proslave, organizacija događaja.

Nije potreban račun za osnovno planiranje. Radi offline. Idealno za mladence, organizatore i sve koji žele proslavu bez stresa.

Preuzmite Moju savršenu proslavu — planer vjenčanja i događaja."
"sr","Serbian","Moja savršena proslava","Planer venčanja i proslave — gosti, raspored, budžet, zadaci i pozivnice.","Moja savršena proslava je planer venčanja, planer rođendana i aplikacija za organizaciju svih vrsta proslava.

Organizujte venčanje, rođendan, godišnjicu, veridbu, krštenje, mature ili porodično okupljanje — na telefonu, sa podacima koji ostaju lokalno na uređaju.

Šta možete da radite:
• Kreirate događaje sa datumom, vremenom, lokacijom i temom
• Vodite listu gostiju sa praćenjem dolaska i brojem osoba
• Planirate raspored sedenja i stolove u sali
• Pratiti budžet i troškove proslave po kategorijama
• Upravljate zadacima i podsetnicima pre velikog dana
• Dizajnirate i delite digitalne pozivnice
• Izvezete PDF izveštaj plana događaja
• Opcioni email backup podataka

Ključne reči: planer venčanja, organizator venčanja, planer rođendana, planer proslave, lista gostiju, raspored sedenja, budžet venčanja, checklista proslave, organizacija događaja.

Nije potreban nalog za osnovno planiranje. Radi offline. Idealno za mladence, organizatore i sve koji žele proslavu bez stresa.

Preuzmite Moju savršenu proslavu — planer venčanja i događaja."
"sq","Albanian","Festa ime e përsosur","Planifikues dasmash dhe festash — mysafirë, ulje, buxhet, detyra, ftesa.","My Perfect Party është planifikues dasmash, planifikues ditëlindjesh dhe aplikacion për organizimin e çdo feste.

Planifikoni dasmë, ditëlindje, përvjetor, fejesë, pagëzim ose tubim familjar — në telefon, me të dhëna lokale në pajisje.

Çfarë mund të bëni:
• Krijoni ngjarje me datë, orë, vendndodhje dhe temë
• Menaxhoni listën e mysafirëve dhe pjesëmarrjen
• Planifikoni uljen dhe tavolinat
• Ndiqni buxhetin dhe shpenzimet
• Menaxhoni detyrat me kujtesa
• Dizajnoni dhe ndani ftesa digjitale
• Eksportoni raport PDF
• Backup opsional me email

Fjalë kyçe: planifikues dasmash, organizator dasme, planifikues ditëlindjeje, planifikues festash, lista e mysafirëve, plan uljeje, buxhet dasme.

Nuk kërkohet llogari. Funksionon offline. Shkarkoni My Perfect Party — planifikuesi juaj i dasmave dhe eventeve."
"bg","Bulgarian","Моето перфектно парти","Планер за сватби и партита — гости, сядане, бюджет, задачи и покани.","My Perfect Party е сватбен планер, планер за рождени дни и приложение за всякакви тържества.

Планирайте сватба, рожден ден, годишнина, годеж, кръщене или семейно събитие — на телефона, с локални данни на устройството.

Какво можете да правите:
• Създавате събития с дата, час, място и тема
• Водите списък с гости и присъствие
• Планирате разположението по маси
• Следите бюджет и разходи
• Управлявате задачи с напомняния
• Създавате и споделяте дигитални покани
• Експортирате PDF отчет
• Опционален email backup

Ключови думи: сватбен планер, организатор на сватба, планер за рожден ден, парти планер, списък с гости, схема на сядане, сватбен бюджет.

Не е нужен акаунт. Работи офлайн. Изтеглете My Perfect Party — ваш планер за сватби и събития."
"mk-MK","Macedonian","Мојата совршена прослава","Планер за свадби и прослави — гости, седење, буџет, задачи и покани.","My Perfect Party е планер за свадби, родендени и сите видови прослави.

Организирајте свадба, роденден, годишнина, веридба, крштевка или семејно собирање — на телефонот, со локални податоци.

Што можете да правите:
• Креирате настани со датум, време, локација и тема
• Водите листа на гости и присуство
• Планирате распоред на седење
• Следите буџет и трошоци
• Управувате со задачи и потсетници
• Дизајнирате и споделувате покани
• Извезувате PDF извештај
• Опционален email backup

Клучни зборови: планер за свадба, организатор на свадба, планер за роденден, планер за прослава, листа на гости, распоред на седење, буџет за свадба.

Не е потребен акаунт. Работи офлајн. Преземете My Perfect Party — планер за свадби и настани."
"sl","Slovenian","Moja popolna proslava","Načrtovalec porok in zabav — gostje, sedežni red, proračun, opravila.","My Perfect Party je načrtovalec porok, rojstnih dni in aplikacija za vse vrste praznovanj.

Načrtujte poroko, rojstni dan, obletnico, zaroko, krst ali družinsko srečanje — na telefonu, s podatki lokalno na napravi.

Kaj lahko počnete:
• Ustvarite dogodke z datumom, uro, lokacijo in temo
• Vodite seznam gostov in udeležbo
• Načrtujete sedežni red in mize
• Spremljate proračun in stroške
• Upravljate opravila z opomniki
• Oblikujete in delite digitalna vabila
• Izvozite PDF poročilo
• Opcijski email backup

Ključne besede: načrtovalec poroke, organizator poroke, načrtovalec rojstnega dne, načrtovalec zabave, seznam gostov, sedežni red, poročni proračun.

Račun ni potreben. Deluje brez povezave. Prenesite My Perfect Party — načrtovalec porok in dogodkov."
"de-DE","German","Meine perfekte Party","Hochzeits- & Eventplaner — Gäste, Sitzplan, Budget, Aufgaben & Einladungen.","My Perfect Party ist ein Hochzeitsplaner, Geburtstagsplaner und die App für jede Feier.

Plane Hochzeit, Geburtstag, Jahrestag, Verlobung, Taufe oder Familientreffen — auf dem Handy, mit lokal gespeicherten Daten.

Funktionen:
• Unbegrenzte Events mit Datum, Uhrzeit, Ort und Thema
• Gästeliste mit Zu-/Absagen und Personenanzahl
• Sitzordnung und Tischplanung
• Hochzeitsbudget und Ausgaben nach Kategorien
• Aufgaben und Erinnerungen vor dem großen Tag
• Digitale Einladungen gestalten und teilen
• PDF-Export deines Plans
• Optionaler E-Mail-Backup

Suchbegriffe: Hochzeitsplaner, Wedding Planner, Geburtstagsplaner, Partyplaner, Eventplaner, Gästeliste App, Sitzplan, Hochzeitsbudget, Checkliste Feier.

Kein Konto nötig. Offline nutzbar. Lade My Perfect Party — dein Wedding & Events Planner."
"fr-FR","French","Ma fête parfaite","Wedding & event planner — invités, plan de table, budget, tâches, faire-part.","My Perfect Party est un wedding planner, un planificateur d’anniversaire et une app pour toutes les fêtes.

Organisez mariage, anniversaire, fiançailles, baptême ou réunion de famille — sur votre téléphone, avec des données stockées localement.

Fonctionnalités :
• Événements illimités avec date, heure, lieu et thème
• Liste d’invités et suivi des présences
• Plan de table et disposition des tables
• Budget mariage et dépenses par catégorie
• Tâches et rappels avant le grand jour
• Créer et partager des invitations numériques
• Exporter un rapport PDF
• Sauvegarde e-mail optionnelle

Mots-clés : wedding planner, organisateur de mariage, planificateur d’anniversaire, planificateur de fête, liste d’invités, plan de table, budget mariage, checklist mariage.

Pas de compte requis. Fonctionne hors ligne. Téléchargez My Perfect Party — votre wedding & events planner."
